POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
81,,6,3,1,41,24,20.5,29,141.37,0,0,3,2
,Jaydev Unadkat,,,,,,,,,,,,
82,,12,6,1,40,12,8,46,86.95,0,0,2,1
,Axar Patel,,,,,,,,,,,,
83,,5,3,1,34,23,17,26,130.76,0,0,2,1
,Jayant Yadav,,,,,,,,,,,,
84,,11,7,6,34,14*,34,30,113.33,0,0,3,0
,Bhuvneshwar Kumar,,,,,,,,,,,,
85,,3,3,0,34,17,11.33,20,170,0,0,3,2
,Mohammad Nabi,,,,,,,,,,,,
86,,4,2,0,32,30,16,21,152.38,0,0,1,3
,Chris Jordan,,,,,,,,,,,,
87,,6,4,0,31,10,7.75,47,65.95,0,0,2,0
,Washington Sundar,,,,,,,,,,,,
88,,5,4,2,31,14,15.5,32,96.87,0,0,0,1
,Moises Henriques,,,,,,,,,,,,
89,,1,1,0,26,26,26,26,100,0,0,1,1
,Dawid Malan,,,,,,,,,,,,
90,,3,3,1,26,14*,13,33,78.78,0,0,1,2
,Glenn Phillips,,,,,,,,,,,,
91,,2,2,1,25,18,25,27,92.59,0,0,3,0
,Ripal Patel,,,,,,,,,,,,
92,,9,2,0,25,20,12.5,20,125,0,0,2,2
,Shivam Mavi,,,,,,,,,,,,
93,,3,2,1,21,21,21,17,123.52,0,0,2,0
,Tom Curran,,,,,,,,,,,,
94,,15,4,3,20,12*,20,26,76.92,0,0,1,1
,Mohammed Siraj,,,,,,,,,,,,
95,,2,2,0,19,12,9.5,23,82.6,0,0,1,1
,Prabhsimran Singh,,,,,,,,,,,,
96,,3,2,1,18,12,18,16,112.5,0,0,0,1
,Nathan Ellis,,,,,,,,,,,,
97,,8,3,3,18,18*,0,11,163.63,0,0,1,1
,Lockie Ferguson,,,,,,,,,,,,
98,,1,1,0,16,16,16,14,114.28,0,0,2,1
,Anmolpreet Singh,,,,,,,,,,,,
99,,4,3,1,16,15,8,17,94.11,0,0,0,1
,Adam Milne,,,,,,,,,,,,
100,,14,6,1,16,7,3.2,25,64,0,0,2,0
,Chetan Sakariya,,,,,,,,,,,,
101,,14,7,5,16,5*,8,17,94.11,0,0,2,0
,Jasprit Bumrah,,,,,,,,,,,,
102,,3,2,0,15,15,7.5,24,62.5,0,0,2,0
,Jhye Richardson,,,,,,,,,,,,
103,,3,1,1,15,15*,0,11,136.36,0,0,2,0
,Chris Woakes,,,,,,,,,,,,
104,,3,2,0,15,9,7.5,24,62.5,0,0,1,0
,Murugan Ashwin,,,,,,,,,,,,
105,,3,2,0,15,11,7.5,26,57.69,0,0,1,0
,Virat Singh,,,,,,,,,,,,
106,,1,1,0,15,15,15,14,107.14,0,0,2,0
,Mandeep Singh,,,,,,,,,,,,
107,,2,1,1,14,14*,0,6,233.33,0,0,2,1
,Jagadeesha Suchith,,,,,,,,,,,,
108,,11,5,0,14,8,2.8,15,93.33,0,0,1,0
,Rahul Chahar,,,,,,,,,,,,
109,,9,7,1,14,9,2.33,24,58.33,0,0,1,0
,Dan Christian,,,,,,,,,,,,
110,,14,4,3,13,9*,13,17,76.47,0,0,0,0
,Mohammad Shami,,,,,,,,,,,,
111,,15,3,2,13,9*,13,6,216.66,0,0,2,0
,Kagiso Rabada,,,,,,,,,,,,
112,,15,2,2,10,8*,0,27,37.03,0,0,0,0
